code,department,faculty,link,term,title
DRC 4745,Civil Law,Civil Law,Course.aspx?id=008859&term=2189&session=FS,2018 Fall Term,Droit fiscal général
DRC 4761,Civil Law,Civil Law,Course.aspx?id=008869&term=2189&session=FS,2018 Fall Term,Droit de l'enfance
DRC 4763,Civil Law,Civil Law,Course.aspx?id=008871&term=2189&session=FS,2018 Fall Term,Traditions juridiques autochtones
DRC 4764,Civil Law,Civil Law,Course.aspx?id=008872&term=2189&session=FS,2018 Fall Term,Droit de l'environnement
DRC 7711,Civil Law,Civil Law,Course.aspx?id=051549&term=2189&session=FS,2018 Fall Term,Assistanat à la rédaction d'une revue juridique (Partie 1 de 2)
DRC 4775,Civil Law,Civil Law,Course.aspx?id=008883&term=2189&session=FS,2018 Fall Term,Droit pénal II
DRC 4777,Civil Law,Civil Law,Course.aspx?id=008885&term=2189&session=FS,2018 Fall Term,Thèmes choisis de droit pénal I
DRC 4789,Civil Law,Civil Law,Course.aspx?id=008889&term=2189&session=FS,2018 Fall Term,Droit international privé bijuridique
DRC 4790,Civil Law,Civil Law,Course.aspx?id=008890&term=2189&session=FS,2018 Fall Term,Droit des obligations I
DRC 4791,Civil Law,Civil Law,Course.aspx?id=008891&term=2189&session=FS,2018 Fall Term,Droit des biens
DRC 4792,Civil Law,Civil Law,Course.aspx?id=008892&term=2189&session=FS,2018 Fall Term,Droit des personnes et de la famille
DRC 4793,Civil Law,Civil Law,Course.aspx?id=008893&term=2189&session=FS,2018 Fall Term,Pensée civiliste
DRC 4795,Civil Law,Civil Law,Course.aspx?id=008895&term=2189&session=FS,2018 Fall Term,Droit des obligations III
DRC 4796,Civil Law,Civil Law,Course.aspx?id=008896&term=2189&session=FS,2018 Fall Term,Droit international privé
DVM 4150,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009077&term=2189&session=FS,2018 Fall Term,Social Economy and Local Development in Developing Countries
DVM 4151,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009078&term=2189&session=FS,2018 Fall Term,International Development Policy and Practice
DVM 4154,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009081&term=2189&session=FS,2018 Fall Term,"Global Studies, Citizenship and Development"
DVM 4508,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009092&term=2189&session=FS,2018 Fall Term,Conflit et développement
DVM 4520,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009094&term=2189&session=FS,2018 Fall Term,Enjeux de développement international en Afrique
DVM 4550,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009099&term=2189&session=FS,2018 Fall Term,Économie sociale et développement local dans les pays en voie de développement
DVM 4552,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009101&term=2189&session=FS,2018 Fall Term,Analyse avancée des données pour le développement international
DVM 4553,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009102&term=2189&session=FS,2018 Fall Term,Développement international et changements environnementaux
DVM 5100,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009116&term=2189&session=FS,2018 Fall Term,Understanding International Development and Globalization
DVM 5101,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009117&term=2189&session=FS,2018 Fall Term,Research Methods
DVM 5500,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009126&term=2189&session=FS,2018 Fall Term,Comprendre le développement international et la mondialisation
DVM 5501,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009127&term=2189&session=FS,2018 Fall Term,Méthodes de recherche
DVM 6105,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009145&term=2189&session=FS,2018 Fall Term,International Development Programming: Results-Based Approaches
DVM 6110,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009146&term=2189&session=FS,2018 Fall Term,Directed Studies in Globalization and International Development
DVM 6114,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009150&term=2189&session=FS,2018 Fall Term,"Special Topics in Rights, Social Movements and Power"
DVM 6501,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009153&term=2189&session=FS,2018 Fall Term,"Croissance économique, secteur privé et inclusion sociale"
DVM 6510,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009158&term=2189&session=FS,2018 Fall Term,Études dirigées en mondialisation et développement international
DVM 6515,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009163&term=2189&session=FS,2018 Fall Term,Thèmes choisis en connaissances profession. pour le développement international et la mondialisation
DVM 6998,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009164&term=2189&session=FS,2018 Fall Term,Research Paper
DVM 8109,International Development and Globalization,Faculty of Social Sciences,Course.aspx?id=009167&term=2189&session=FS,2018 Fall Term,Theories of International Development
ECH 1100,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009234&term=2189&session=FS,2018 Fall Term,Introduction to the Study of Conflicts and Human Rights
ECH 1500,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009235&term=2189&session=FS,2018 Fall Term,Introduction à l'étude des conflits et droits humains
ECH 2310,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009236&term=2189&session=FS,2018 Fall Term,Conflicts and Rights: Philosophical Perspectives
ECH 2320,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=039380&term=2189&session=FS,2018 Fall Term,Qualitative Methods in Conflict Studies and Human Rights
ECH 2700,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=039381&term=2189&session=FS,2018 Fall Term,Introduction aux institutions et droits humains internationaux
ECH 2710,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009238&term=2189&session=FS,2018 Fall Term,Conflits et droits
ECH 2720,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=039382&term=2189&session=FS,2018 Fall Term,Méthodes qualitatives en études des conflits et droits humains
ECH 3320,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009242&term=2189&session=FS,2018 Fall Term,War and Security: Historical Perspectives
ECH 3710,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009246&term=2189&session=FS,2018 Fall Term,Problèmes actuels en droits humains internationaux
ECH 3730,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009248&term=2189&session=FS,2018 Fall Term,Thèmes choisis en études des conflits et droits humains
ECH 3760,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=039384&term=2189&session=FS,2018 Fall Term,Méthodes quantitatives en études des conflits et droits humains
ECH 4010,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009253&term=2189&session=FS,2018 Fall Term,International Internship in Conflict Studies and Human Rights
ECH 4310,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009255&term=2189&session=FS,2018 Fall Term,Selected Research Topics in Human Rights
ECH 4320,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009256&term=2189&session=FS,2018 Fall Term,Conflict Resolution and Peace Building
ECH 4325,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009257&term=2189&session=FS,2018 Fall Term,The Challenge of Democracy in International Affairs
ECH 4330,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009258&term=2189&session=FS,2018 Fall Term,Selected Research Topics in Conflict Studies
ECH 4355,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009261&term=2189&session=FS,2018 Fall Term,Conflicts and the Peace Process: Selected Topics
ECH 4720,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009264&term=2189&session=FS,2018 Fall Term,Résolution de conflits et construction de la paix
ECH 4735,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009267&term=2189&session=FS,2018 Fall Term,Diplomatie de deuxième niveau
ECH 4755,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=009270&term=2189&session=FS,2018 Fall Term,Conflits et processus de paix : Thèmes choisis
ECO 2521,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009328&term=2189&session=FS,2018 Fall Term,Économie et mondialisation
ECO 2542,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009334&term=2189&session=FS,2018 Fall Term,Théorie macroéconomique I
ECO 2544,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009336&term=2189&session=FS,2018 Fall Term,Théorie microéconomique I
ECO 3132,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009358&term=2189&session=FS,2018 Fall Term,History of Economic Thought
ECO 3145,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009366&term=2189&session=FS,2018 Fall Term,Mathematical Economics I
ECO 3150,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009370&term=2189&session=FS,2018 Fall Term,Probability and Statistics for Economists
ECO 3151,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009371&term=2189&session=FS,2018 Fall Term,Introduction to Econometrics
ECO 3152,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009372&term=2189&session=FS,2018 Fall Term,Macroeconomic Theory III
ECO 3153,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009373&term=2189&session=FS,2018 Fall Term,Microeconomic Theory III
ECO 3511,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009378&term=2189&session=FS,2018 Fall Term,Commerce international
ECO 3545,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009397&term=2189&session=FS,2018 Fall Term,Économie mathématique I
ECO 3550,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009401&term=2189&session=FS,2018 Fall Term,Probabilité et statistique pour économistes
ECO 3552,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009403&term=2189&session=FS,2018 Fall Term,Théorie macroéconomique III
ECO 4117,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009419&term=2189&session=FS,2018 Fall Term,Development Economics
ECO 4121,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009421&term=2189&session=FS,2018 Fall Term,Public Economics
ECO 4150,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009434&term=2189&session=FS,2018 Fall Term,Directed Research Project
ECO 4185,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009440&term=2189&session=FS,2018 Fall Term,Financial Econometrics
ECO 4186,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009441&term=2189&session=FS,2018 Fall Term,Applied Econometrics
ECO 4190,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009442&term=2189&session=FS,2018 Fall Term,Health Economics
ECO 4199,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009446&term=2189&session=FS,2018 Fall Term,Special Topics III
ECO 7119,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009731&term=2189&session=FS,2018 Fall Term,Mathematical Foundations for Economic Theory
ECO 7126,Department of Economics,Faculty of Social Sciences,Course.aspx?id=009736&term=2189&session=FS,2018 Fall Term,Econometrics II
EDU 5101,Educational Studies Program,Faculty of Education,Course.aspx?id=010402&term=2189&session=FS,2018 Fall Term,Perspectives in Education
EDU 5190,Educational Studies Program,Faculty of Education,Course.aspx?id=010441&term=2189&session=FS,2018 Fall Term,Introduction to Research in Education
EDU 5199,Educational Studies Program,Faculty of Education,Course.aspx?id=010445&term=2189&session=FS,2018 Fall Term,Synthesis Seminar
EDU 5221,Educational Studies Program,Faculty of Education,Course.aspx?id=010463&term=2189&session=FS,2018 Fall Term,Historical Narratives and Education
EDU 5242,Educational Studies Program,Faculty of Education,Course.aspx?id=010480&term=2189&session=FS,2018 Fall Term,Trends in Second Language Teaching
EDU 5244,Educational Studies Program,Faculty of Education,Course.aspx?id=010482&term=2189&session=FS,2018 Fall Term,"Bilingual, Multilingual and Minority Contexts of Language Education"
EDU 5253,Educational Studies Program,Faculty of Education,Course.aspx?id=010492&term=2189&session=FS,2018 Fall Term,Theories of Learning Applied to Teaching
EDU 5258,Educational Studies Program,Faculty of Education,Course.aspx?id=010498&term=2189&session=FS,2018 Fall Term,Learning Differences in Education
EDU 5260,Educational Studies Program,Faculty of Education,Course.aspx?id=010499&term=2189&session=FS,2018 Fall Term,Introduction to Curriculum Studies
EDU 5263,Educational Studies Program,Faculty of Education,Course.aspx?id=010504&term=2189&session=FS,2018 Fall Term,Introduction to Educational Administration
EDU 5271,Educational Studies Program,Faculty of Education,Course.aspx?id=010509&term=2189&session=FS,2018 Fall Term,Counselling and Psychotherapy: Theories and Practices I
EDU 5274,Educational Studies Program,Faculty of Education,Course.aspx?id=010510&term=2189&session=FS,2018 Fall Term,Tests and Measurement in Counselling Psychology
EDU 5286,Educational Studies Program,Faculty of Education,Course.aspx?id=010514&term=2189&session=FS,2018 Fall Term,Technology and Health Professions Education
EDU 5299,Educational Studies Program,Faculty of Education,Course.aspx?id=010523&term=2189&session=FS,2018 Fall Term,Program Evaluation: Methods and Practice
EDU 5301,Educational Studies Program,Faculty of Education,Course.aspx?id=010525&term=2189&session=FS,2018 Fall Term,Principles of Educational Planning for the Health Professions - Part I
EDU 5385,Educational Studies Program,Faculty of Education,Course.aspx?id=010556&term=2189&session=FS,2018 Fall Term,Critical Perspectives on Children's Literature and Learning
EDU 5465,Educational Studies Program,Faculty of Education,Course.aspx?id=010574&term=2189&session=FS,2018 Fall Term,Globalization and Comparative Education
EDU 5473,Educational Studies Program,Faculty of Education,Course.aspx?id=010578&term=2189&session=FS,2018 Fall Term,Theories of Career Development
EDU 6472,Educational Studies Program,Faculty of Education,Course.aspx?id=010846&term=2189&session=FS,2018 Fall Term,Seminar and Practicum in Group Counselling
EDU 6473,Educational Studies Program,Faculty of Education,Course.aspx?id=010847&term=2189&session=FS,2018 Fall Term,Practicum in Counselling Psychology I
EDU 6474,Educational Studies Program,Faculty of Education,Course.aspx?id=010848&term=2189&session=FS,2018 Fall Term,Practicum in Counselling Psychology II
EDU 6506,Educational Studies Program,Faculty of Education,Course.aspx?id=010858&term=2189&session=FS,2018 Fall Term,"Sciences technologies, société et environnement"
EDU 6511,Educational Studies Program,Faculty of Education,Course.aspx?id=010862&term=2189&session=FS,2018 Fall Term,Enseignement et apprentissage des littératies en langues secondes selon les contextes culturels
EDU 6546,Educational Studies Program,Faculty of Education,Course.aspx?id=010871&term=2189&session=FS,2018 Fall Term,Théories d'apprentissage appliquées à l'enseignement des langues secondes
EDU 6573,Educational Studies Program,Faculty of Education,Course.aspx?id=010875&term=2189&session=FS,2018 Fall Term,Travail et santé mentale
EDU 6690,Educational Studies Program,Faculty of Education,Course.aspx?id=010908&term=2189&session=FS,2018 Fall Term,Méthodologie de la recherche
EDU 6871,Educational Studies Program,Faculty of Education,Course.aspx?id=010922&term=2189&session=FS,2018 Fall Term,Stage en psychologie du counselling I
EDU 6873,Educational Studies Program,Faculty of Education,Course.aspx?id=010924&term=2189&session=FS,2018 Fall Term,Stage en psychologie du counselling II
EDU 6874,Educational Studies Program,Faculty of Education,Course.aspx?id=010925&term=2189&session=FS,2018 Fall Term,Stage en psychologie du counselling III
EDU 6997,Educational Studies Program,Faculty of Education,Course.aspx?id=010928&term=2189&session=FS,2018 Fall Term,Master's Thesis Proposal
EDU 6999,Educational Studies Program,Faculty of Education,Course.aspx?id=051926&term=2189&session=FS,2018 Fall Term,Major Research Paper
EDU 7150,Educational Studies Program,Faculty of Education,Course.aspx?id=010943&term=2189&session=FS,2018 Fall Term,Selected Topics in Teaching and Learning
EDU 7190,Educational Studies Program,Faculty of Education,Course.aspx?id=010949&term=2189&session=FS,2018 Fall Term,Qualitative Research I
EDU 7590,Educational Studies Program,Faculty of Education,Course.aspx?id=011033&term=2189&session=FS,2018 Fall Term,Recherche qualitative I
EDU 7797,Educational Studies Program,Faculty of Education,Course.aspx?id=011083&term=2189&session=FS,2018 Fall Term,Instruments de collecte de données
EDU 8106,Educational Studies Program,Faculty of Education,Course.aspx?id=011106&term=2189&session=FS,2018 Fall Term,Epistemology and Research in Education
EDU 8506,Educational Studies Program,Faculty of Education,Course.aspx?id=011134&term=2189&session=FS,2018 Fall Term,Enjeux épistémologiques et méthodologiques de la recherche en éducation
EDU 8999,Educational Studies Program,Faculty of Education,Course.aspx?id=011163&term=2189&session=FS,2018 Fall Term,Interim Report
ELG 4539,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011416&term=2189&session=FS,2018 Fall Term,Électronique III
ELG 4576,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011423&term=2189&session=FS,2018 Fall Term,Systèmes de télécommunications
ELG 4912,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011437&term=2189&session=FS,2018 Fall Term,Electrical Engineering Design Project: Part I
ELG 4913,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011438&term=2189&session=FS,2018 Fall Term,Electrical Engineering Design Project: Part II
ELG 5100,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011443&term=2189&session=FS,2018 Fall Term,Software Engineering Project Management
ELG 5121,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011474&term=2189&session=FS,2018 Fall Term,Multimedia Communications
ELG 5132,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011492&term=2189&session=FS,2018 Fall Term,Smart Antennas
ELG 5133,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011494&term=2189&session=FS,2018 Fall Term,Introduction to Mobile Communications
ELG 5138,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011503&term=2189&session=FS,2018 Fall Term,Cross Layer Design for Wireless Multimedia Networks
ELG 5161,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011520&term=2189&session=FS,2018 Fall Term,"Robotics: Control, Sensing and Intelligence"
ELG 5170,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011527&term=2189&session=FS,2018 Fall Term,Information Theory
ELG 5369,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011619&term=2189&session=FS,2018 Fall Term,Internetworking Technologies
ELG 5372,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011625&term=2189&session=FS,2018 Fall Term,Error Control Coding
ELG 5374,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011629&term=2189&session=FS,2018 Fall Term,Computer Communication Network
ELG 5375,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011631&term=2189&session=FS,2018 Fall Term,Digital Communications
ELG 5381,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011642&term=2189&session=FS,2018 Fall Term,Photonics Networks
ELG 5386,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011650&term=2189&session=FS,2018 Fall Term,Neural Networks and Fuzzy Systems
ELG 6104,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011675&term=2189&session=FS,2018 Fall Term,Optimization for Engineering Applications
ELG 6114,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011690&term=2189&session=FS,2018 Fall Term,Methodologies for Discrete-Event Modeling and Simulation
ELG 6115,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011692&term=2189&session=FS,2018 Fall Term,Software Quality Engineering and Management
ELG 7187,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011948&term=2189&session=FS,2018 Fall Term,Topics in Computers II
ELG 7199,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011949&term=2189&session=FS,2018 Fall Term,Directed Studies
ELG 9997,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011969&term=2189&session=FS,2018 Fall Term,Ph.D. Thesis Proposal
ELG 9998,Department of Electrical Engineering,Faculty of Engineering,Course.aspx?id=011970&term=2189&session=FS,2018 Fall Term,Ph.D. Comprehensive Examination
EMP 5100,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011983&term=2189&session=FS,2018 Fall Term,Introduction to Engineering Management
EMP 5101,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011984&term=2189&session=FS,2018 Fall Term,Industrial Organization
EMP 5102,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011985&term=2189&session=FS,2018 Fall Term,Systems Engineering and Integration
EMP 5109,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011992&term=2189&session=FS,2018 Fall Term,Topics in Engineering Management
EMP 5111,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011994&term=2189&session=FS,2018 Fall Term,Creativity and Innovation
EMP 5116,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=011999&term=2189&session=FS,2018 Fall Term,Issues in Management and Operation of Communication Networks
EMP 5119,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=045143&term=2189&session=FS,2018 Fall Term,Project Information Management
EMP 5169,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=012003&term=2189&session=FS,2018 Fall Term,Advanced Topics in Reliability Engineering
EMP 5179,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=012004&term=2189&session=FS,2018 Fall Term,Manufacturing Systems Analysis
ENG 1100,Department of English,Faculty of Arts,Course.aspx?id=012011&term=2189&session=FS,2018 Fall Term,Workshop in Essay Writing
ENG 1112,Department of English,Faculty of Arts,Course.aspx?id=012019&term=2189&session=FS,2018 Fall Term,Technical Report Writing
ENG 1124,Department of English,Faculty of Arts,Course.aspx?id=012028&term=2189&session=FS,2018 Fall Term,Engaging with Literature
ENG 2101,Department of English,Faculty of Arts,Course.aspx?id=012043&term=2189&session=FS,2018 Fall Term,Introduction to Canadian Literature I: Beginnings to 1920
ENG 2103,Department of English,Faculty of Arts,Course.aspx?id=012045&term=2189&session=FS,2018 Fall Term,Introduction to American Literature I: Beginnings to 1900
ENG 2105,Department of English,Faculty of Arts,Course.aspx?id=012047&term=2189&session=FS,2018 Fall Term,Introduction to British Literature I: Beginnings to 1700
ENG 2110,Department of English,Faculty of Arts,Course.aspx?id=012049&term=2189&session=FS,2018 Fall Term,Children's Literature
ENG 4151,Department of English,Faculty of Arts,Course.aspx?id=012277&term=2189&session=FS,2018 Fall Term,Eighteenth Century: Seminar
ENG 4165,Department of English,Faculty of Arts,Course.aspx?id=012282&term=2189&session=FS,2018 Fall Term,Victorian Literature: Seminar
ENG 4182,Department of English,Faculty of Arts,Course.aspx?id=012285&term=2189&session=FS,2018 Fall Term,Canadian Literature: Seminar
ENG 6111,Department of English,Faculty of Arts,Course.aspx?id=012356&term=2189&session=FS,2018 Fall Term,Directed Readings I
ENG 6302,Department of English,Faculty of Arts,Course.aspx?id=012367&term=2189&session=FS,2018 Fall Term,Research Methodology
ENG 6304,Department of English,Faculty of Arts,Course.aspx?id=012369&term=2189&session=FS,2018 Fall Term,Doctoral Research Methods
ENG 6360,Department of English,Faculty of Arts,Course.aspx?id=012387&term=2189&session=FS,2018 Fall Term,Eighteenth Century Literature I
ENG 6381,Department of English,Faculty of Arts,Course.aspx?id=012397&term=2189&session=FS,2018 Fall Term,Victorian Literature II
ENG 7320,Department of English,Faculty of Arts,Course.aspx?id=012449&term=2189&session=FS,2018 Fall Term,Canadian Literature I
ENG 7382,Department of English,Faculty of Arts,Course.aspx?id=012467&term=2189&session=FS,2018 Fall Term,Digital Humanities I
ENV 1101,Department of Geography,Faculty of Arts,Course.aspx?id=012609&term=2189&session=FS,2018 Fall Term,Global Environmental Challenges
ENV 1501,Department of Geography,Faculty of Arts,Course.aspx?id=012610&term=2189&session=FS,2018 Fall Term,Les défis environnementaux globaux
ENV 2301,Department of Geography,Faculty of Arts,Course.aspx?id=012612&term=2189&session=FS,2018 Fall Term,History of Environmental Thought
ENV 2701,Department of Geography,Faculty of Arts,Course.aspx?id=012616&term=2189&session=FS,2018 Fall Term,Histoire de la pensée environnementale
ENV 0001,Department of Geography,Faculty of Arts,Course.aspx?id=051265&term=2189&session=FS,2018 Fall Term,Honours Essay (Part 1 of 2)
ENV 4118,Department of Geography,Faculty of Arts,Course.aspx?id=012629&term=2189&session=FS,2018 Fall Term,Environmental Impact Assessment
ENV 4504,Department of Geography,Faculty of Arts,Course.aspx?id=039337&term=2189&session=FS,2018 Fall Term,Approches méthodologiques et théoriques en géographie et études environnementales
ENV 4999,Department of Geography,Faculty of Arts,Course.aspx?id=012640&term=2189&session=FS,2018 Fall Term,Environmental Volunteer Work
EPI 5126,School of Epidemiology and Public Health,Faculty of Medicine,Course.aspx?id=012667&term=2189&session=FS,2018 Fall Term,Introduction to Healthcare Epidemiology
EPI 5188,School of Epidemiology and Public Health,Faculty of Medicine,Course.aspx?id=012674&term=2189&session=FS,2018 Fall Term,Health Technology Assessment
ESL 2112,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012915&term=2189&session=FS,2018 Fall Term,Oral and Written Communication in English as a Second Language: Intermediate Level II
ESL 2113,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012916&term=2189&session=FS,2018 Fall Term,English Grammar for Second Language Learners: Intermediate Level
ESL 2121,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012917&term=2189&session=FS,2018 Fall Term,Reading and Writing Skills for Second Language Learners: Low Advanced
ESL 2122,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012918&term=2189&session=FS,2018 Fall Term,Listening and Speaking Skills for Second Language Learners: Low Advanced
ESL 2181,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012920&term=2189&session=FS,2018 Fall Term,Adjunct Language Course in ESL: Receptive Skills
ESL 2351,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012937&term=2189&session=FS,2018 Fall Term,Advanced Oral Communication Skills for Second Language Speakers
ESL 2361,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012938&term=2189&session=FS,2018 Fall Term,Advanced Writing Skills for Second Language Learners
ESL 2371,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012940&term=2189&session=FS,2018 Fall Term,Advanced Grammar in Use: Written and Oral Expression
ESL 3100,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012943&term=2189&session=FS,2018 Fall Term,Second Language Proficiency: Practice and Assessment
ESL 3181,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012946&term=2189&session=FS,2018 Fall Term,Adjunct Language Course in ESL: Productive Skills
ESL 3361,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012950&term=2189&session=FS,2018 Fall Term,Write to Be Read: Writing Academic Texts
ESL 3363,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=012951&term=2189&session=FS,2018 Fall Term,Business and Administrative Writing for Second Language Learners
ESP 1502,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=012964&term=2189&session=FS,2018 Fall Term,Introduction à la culture hispano-américaine
ESP 1991,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=012965&term=2189&session=FS,2018 Fall Term,Elementary Spanish I
ESP 2302,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=012976&term=2189&session=FS,2018 Fall Term,Spanish in the World
ESP 2911,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=012990&term=2189&session=FS,2018 Fall Term,Contemporary Spanish Culture
ESP 2991,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=012993&term=2189&session=FS,2018 Fall Term,Intermediate Spanish I
ESP 3935,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=013038&term=2189&session=FS,2018 Fall Term,Reading Hispanic Texts: Theatre and the Poetry
ESP 3943,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=013046&term=2189&session=FS,2018 Fall Term,Introduction to Hispanic Linguistics
ESP 3991,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=013055&term=2189&session=FS,2018 Fall Term,Advanced Spanish I
